Fra_dato;Til_dato;Mængde;Måleenhed;Kvalitet;Type
11-06-2024 10:00:00;11-06-2024 11:00:00;0,094;KWH;Målt;Tidsserie
11-06-2024 11:00:00;11-06-2024 12:00:00;0,083;KWH;Målt;Tidsserie
11-06-2024 12:00:00;11-06-2024 13:00:00;0,092;KWH;Målt;Tidsserie
11-06-2024 13:00:00;11-06-2024 14:00:00;0,137;KWH;Målt;Tidsserie
11-06-2024 14:00:00;11-06-2024 15:00:00;0,109;KWH;Målt;Tidsserie
11-06-2024 15:00:00;11-06-2024 16:00:00;0,134;KWH;Målt;Tidsserie
11-06-2024 16:00:00;11-06-2024 17:00:00;0,093;KWH;Målt;Tidsserie
11-06-2024 17:00:00;11-06-2024 18:00:00;1,202;KWH;Målt;Tidsserie
11-06-2024 18:00:00;11-06-2024 19:00:00;0,103;KWH;Målt;Tidsserie
11-06-2024 19:00:00;11-06-2024 20:00:00;0,11;KWH;Målt;Tidsserie
11-06-2024 20:00:00;11-06-2024 21:00:00;0,208;KWH;Målt;Tidsserie
11-06-2024 21:00:00;11-06-2024 22:00:00;0,227;KWH;Målt;Tidsserie
11-06-2024 22:00:00;11-06-2024 23:00:00;0,113;KWH;Målt;Tidsserie
11-06-2024 23:00:00;12-06-2024 00:00:00;0,094;KWH;Målt;Tidsserie
12-06-2024 00:00:00;12-06-2024 01:00:00;0,091;KWH;Målt;Tidsserie
12-06-2024 01:00:00;12-06-2024 02:00:00;0,084;KWH;Målt;Tidsserie
12-06-2024 02:00:00;12-06-2024 03:00:00;0,088;KWH;Målt;Tidsserie
12-06-2024 03:00:00;12-06-2024 04:00:00;0,092;KWH;Målt;Tidsserie
12-06-2024 04:00:00;12-06-2024 05:00:00;0,127;KWH;Målt;Tidsserie
12-06-2024 05:00:00;12-06-2024 06:00:00;0,669;KWH;Målt;Tidsserie
12-06-2024 06:00:00;12-06-2024 07:00:00;0,269;KWH;Målt;Tidsserie
12-06-2024 07:00:00;12-06-2024 08:00:00;0,412;KWH;Målt;Tidsserie
12-06-2024 08:00:00;12-06-2024 09:00:00;0,762;KWH;Målt;Tidsserie
12-06-2024 09:00:00;12-06-2024 10:00:00;0,196;KWH;Målt;Tidsserie
12-06-2024 10:00:00;12-06-2024 11:00:00;0,099;KWH;Målt;Tidsserie
12-06-2024 11:00:00;12-06-2024 12:00:00;0,099;KWH;Målt;Tidsserie
12-06-2024 12:00:00;12-06-2024 13:00:00;0,102;KWH;Målt;Tidsserie
12-06-2024 13:00:00;12-06-2024 14:00:00;0,091;KWH;Målt;Tidsserie
12-06-2024 14:00:00;12-06-2024 15:00:00;0,153;KWH;Målt;Tidsserie
12-06-2024 15:00:00;12-06-2024 16:00:00;0,099;KWH;Målt;Tidsserie
12-06-2024 16:00:00;12-06-2024 17:00:00;0,091;KWH;Målt;Tidsserie
12-06-2024 17:00:00;12-06-2024 18:00:00;0,093;KWH;Målt;Tidsserie
12-06-2024 18:00:00;12-06-2024 19:00:00;0,087;KWH;Målt;Tidsserie
12-06-2024 19:00:00;12-06-2024 20:00:00;0,091;KWH;Målt;Tidsserie
12-06-2024 20:00:00;12-06-2024 21:00:00;0,088;KWH;Målt;Tidsserie
12-06-2024 21:00:00;12-06-2024 22:00:00;0,09;KWH;Målt;Tidsserie
12-06-2024 22:00:00;12-06-2024 23:00:00;0,091;KWH;Målt;Tidsserie
12-06-2024 23:00:00;13-06-2024 00:00:00;0,086;KWH;Målt;Tidsserie
13-06-2024 00:00:00;13-06-2024 01:00:00;0,083;KWH;Målt;Tidsserie
13-06-2024 01:00:00;13-06-2024 02:00:00;0,091;KWH;Målt;Tidsserie
13-06-2024 02:00:00;13-06-2024 03:00:00;0,087;KWH;Målt;Tidsserie
13-06-2024 03:00:00;13-06-2024 04:00:00;0,088;KWH;Målt;Tidsserie
13-06-2024 04:00:00;13-06-2024 05:00:00;0,087;KWH;Målt;Tidsserie
13-06-2024 05:00:00;13-06-2024 06:00:00;0,085;KWH;Målt;Tidsserie
13-06-2024 06:00:00;13-06-2024 07:00:00;0,078;KWH;Målt;Tidsserie
13-06-2024 07:00:00;13-06-2024 08:00:00;0,082;KWH;Målt;Tidsserie
13-06-2024 08:00:00;13-06-2024 09:00:00;0,091;KWH;Målt;Tidsserie
13-06-2024 09:00:00;13-06-2024 10:00:00;0,085;KWH;Målt;Tidsserie
13-06-2024 10:00:00;13-06-2024 11:00:00;0,081;KWH;Målt;Tidsserie
13-06-2024 11:00:00;13-06-2024 12:00:00;0,085;KWH;Målt;Tidsserie
13-06-2024 12:00:00;13-06-2024 13:00:00;0,083;KWH;Målt;Tidsserie
13-06-2024 13:00:00;13-06-2024 14:00:00;0,081;KWH;Målt;Tidsserie
13-06-2024 14:00:00;13-06-2024 15:00:00;0,083;KWH;Målt;Tidsserie
13-06-2024 15:00:00;13-06-2024 16:00:00;0,093;KWH;Målt;Tidsserie
13-06-2024 16:00:00;13-06-2024 17:00:00;0,089;KWH;Målt;Tidsserie
13-06-2024 17:00:00;13-06-2024 18:00:00;0,085;KWH;Målt;Tidsserie
